unique_id	str_order	occ_cur	T_mean_sum	T_inertia	featureid
628	1	0.970046844	13.70829746	346.8452047	201476211
600	2	0.970046844	13.70829746	346.8452047	201476211
631	1	0.994844786	13.51228692	281.2154052	201476217
633	1	0.987278111	15.06388785	280.3352579	201476218
636	1	0.987278111	15.06388785	280.3352579	201476218
637	1	0.987278111	15.06388785	280.3352579	201476218
634	2	0.987278111	15.06388785	280.3352579	201476218
635	1	0.987278111	15.06388785	280.3352579	201476218
632	2	0.987278111	15.06388785	280.3352579	201476218
568	2	0.972120491	16.59443332	165.7171476	201476228
641	2	0.977621816	15.80415166	229.4993708	201476231
640	2	0.977621816	15.80415166	229.4993708	201476231
648	2	0.972548011	15.30957584	250.6958185	201476232
649	2	0.972548011	15.30957584	250.6958185	201476232
652	1	0.972548011	15.30957584	250.6958185	201476232
643	2	0.972548011	15.30957584	250.6958185	201476232
650	1	0.972548011	15.30957584	250.6958185	201476232
645	1	0.972548011	15.30957584	250.6958185	201476232
647	1	0.972548011	15.30957584	250.6958185	201476232
646	1	0.972548011	15.30957584	250.6958185	201476232
644	2	0.972548011	15.30957584	250.6958185	201476232
642	1	0.972548011	15.30957584	250.6958185	201476232
651	1	0.972548011	15.30957584	250.6958185	201476232
660	2	0.981029205	15.00284231	314.2786431	201476241
655	2	0.981029205	15.00284231	314.2786431	201476241
657	1	0.981029205	15.00284231	314.2786431	201476241
659	2	0.981029205	15.00284231	314.2786431	201476241
653	2	0.981029205	15.00284231	314.2786431	201476241
656	2	0.981029205	15.00284231	314.2786431	201476241
658	1	0.981029205	15.00284231	314.2786431	201476241
639	1	0.994933173	12.67768333	304.8695372	201476265
663	1	0.955522707	16.59650522	202.8129633	201476294
673	3	0.955522707	16.59650522	202.8129633	201476294
668	1	0.955522707	16.59650522	202.8129633	201476294
674	3	0.955522707	16.59650522	202.8129633	201476294
672	1	0.955522707	16.59650522	202.8129633	201476294
675	3	0.955522707	16.59650522	202.8129633	201476294
671	1	0.955522707	16.59650522	202.8129633	201476294
670	1	0.955522707	16.59650522	202.8129633	201476294
669	3	0.955522707	16.59650522	202.8129633	201476294
666	1	0.955522707	16.59650522	202.8129633	201476294
667	3	0.955522707	16.59650522	202.8129633	201476294
664	1	0.955522707	16.59650522	202.8129633	201476294
661	3	0.955522707	16.59650522	202.8129633	201476294
665	3	0.955522707	16.59650522	202.8129633	201476294
677	3	0.994933454	12.99730798	467.2381339	201476296
676	1	0.994933454	12.99730798	467.2381339	201476296
683	3	0.994933454	12.99730798	467.2381339	201476296
682	3	0.994933454	12.99730798	467.2381339	201476296
681	1	0.994933454	12.99730798	467.2381339	201476296
680	3	0.994933454	12.99730798	467.2381339	201476296
679	3	0.994933454	12.99730798	467.2381339	201476296
685	1	0.975008361	17.19466479	164.5491613	201476302
684	1	0.975008361	17.19466479	164.5491613	201476302
688	4	0.954712094	16.6692734	189.8592999	201476305
662	3	0.954712094	16.6692734	189.8592999	201476305
689	4	0.954712094	16.6692734	189.8592999	201476305
687	4	0.954712094	16.6692734	189.8592999	201476305
686	4	0.954712094	16.6692734	189.8592999	201476305
690	4	0.965035379	16.39559763	195.6202928	201476307
678	3	0.965035379	16.39559763	195.6202928	201476307
696	2	0.772285974	15.68277981	210.3132834	201476311
699	1	0.772285974	15.68277981	210.3132834	201476311
700	1	0.772285974	15.68277981	210.3132834	201476311
697	2	0.772285974	15.68277981	210.3132834	201476311
698	2	0.772285974	15.68277981	210.3132834	201476311
701	1	0.772285974	15.68277981	210.3132834	201476311
