score	bar_type	drain_bar	drain_tot	strkm_bar	strkm_tot	upstr_bars	hydro_rof	struct_rof	geo_rof	unique_id	featureid
0.692	1	0.0153	0.0153	0.058428216	0.058428216	0	0.720062522	0.926586352	0.554448126	1178	201476917
0.739	1	2.7	2.7234	3.964448343	4.071243868	1	0.27965531	0.707307411	0.974826554	510	201476024
0.578	1	0.0783	0.3969	0.19859924	0.401559368	1	0.356806972	0.245368501	0.409786005	1185	201476917
0.607	1	0.0162	0.0162	0.123658196	0.123658196	0	0.953495486	0.208730585	0.229630406	1192	201476917
0.909	1	2.727	87.3864	4.283137071	108.2164969	102	0.486172236	0.649300321	0.182506475	1318	201477106
0.544	1	0.3186	0.3186	0.202960128	0.202960128	0	0.125019044	0.740287487	0.739636992	1184	201476917
0.564	1	0.2574	0.2574	0.361108124	0.361108124	0	0.797260943	0.684262009	0.859127535	1312	201477101
0.696	1	0.9846	0.9846	1.205907411	1.205907411	0	0.145646098	0.844446293	0.953383306	1316	201477101
0.861	1	0.1791	0.1791	0.291664722	0.291664722	0	0.090973528	0.616017845	0.622408046	669	201476294
0.845	1	3.852	9.4752	4.679708442	12.90216414	10	0.990323647	0.423621294	0.150893191	666	201476294
0.664	1	1.3905	2.6325	2.075732245	3.64274778	2	0.131386194	0.099516731	0.3846742	1310	201477101
0.624	1	0.2862	0.2862	0.191408852	0.191408852	0	0.146410565	0.653702453	0.799069705	946	201476626
0.615	1	0.0234	0.0234	0.106795525	0.106795525	0	0.74119814	0.057133719	0.042944892	514	201476024
0.885	1	1.1727	34.3656	2.188800646	46.05818632	29	0.72676933	0.451835357	0.723923136	691	201476305
0.942	1	0.0171	34.3827	0.036942668	46.09512898	30	0.850761677	0.144836711	0.462052272	693	201476305
0.638	1	1.3383	1.3383	1.32311664	1.32311664	0	0.627707477	0.598695947	0.257117886	772	201476393
0.593	1	0.3456	0.3456	0.306850588	0.306850588	0	0.271323159	0.378457776	0.512583315	689	201476302
0.591	1	0.6606	0.6606	0.508195948	0.508195948	0	0.760756006	0.255870003	0.249824026	1308	201477101
0.924	1	0.0909	34.4736	0.219047054	46.31417604	31	0.770685295	0.026734206	0.865679247	692	201476305
0.605	1	0.4842	0.4842	0.749181376	0.749181376	0	0.244856011	0.319579505	0.624751632	845	201476433
0.793	1	0.0036	0.5904	0.039179122	1.018373086	2	0.563693162	0.346135559	0.78673145	559	201476060
0.556	1	0.0045	0.5868	0.029584399	0.979193964	1	0.986137639	0.583626724	0.663946123	558	201476060
0.56	1	0.5823	0.5823	0.949609565	0.949609565	0	0.937640073	0.171465026	0.322274819	557	201476060
0.642	1	1.0107	1.0107	0.889929839	0.889929839	0	0.867692942	0.345571932	0.162246177	1483	201477307
0.677	1	0.4437	4.3857	0.386285379	5.322122674	2	0.506871969	0.569433323	0.821326382	570	201476060
0.699	1	3.6459	3.6459	4.473420737	4.473420737	0	0.855086716	0.745903187	0.465059287	568	201476060
0.691	1	2.5272	2.5272	1.217225653	1.217225653	0	0.882705528	0.356148271	0.308863513	1247	201477013
0.692	1	0.2961	3.942	0.462416558	4.935837295	1	0.951170432	0.159368723	0.388283461	569	201476060
0.667	1	0.6408	2.2707	0.60390089	1.962123039	4	0.31486827	0.581066504	0.895724865	1073	201476819
0.634	1	0.7326	1.3923	1.568761992	2.529489773	2	0.573432696	0.871651381	0.045619591	840	201476433
0.681	1	2.0457	3.51	3.511539515	6.130774422	4	0.755951008	0.613478226	0.281963524	901	201476564
0.549	1	0.072	1.4643	0.089745134	2.619234907	3	0.126188681	0.626462742	0.072338652	841	201476433
