unique_id	cross_prior	eco_dis	trans_vuln	max_rof	int_del	impass	deltaln	effectln	effln16Cur	effln18Cur	effln20Cur	effln22Cur	effln16Fut	effln18Fut	effln20Fut	effln22Fut	anad_rest	struct_rof	geo_rof	hydCurAll	hydCurStat	hydCurPhys	hydMCAll	hydMCPhys	ave_del	aff_del	max_del	bar_type	drain_tot	drain_bar	strkm_tot	strkm_bar	upstr_bars	slope_perc	Q2_m3_s	w_W_m2_ST	obs_date	jurisdiction	nhs	crossing_id	featureid
210	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.306240904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	6.8733	1.4445	5.550617242	0.317341705	5	0	5.245119697	0	NA	NA	NA	VT_61.01	201475065
211	0.111107785	0.198988721	NA	NA	NA	0.147	0.369976585	0.198988721	0.181818182	0.21636348	0.21636348	0.21636348	0	0.181818182	0.21636348	0.21636348	0.067738767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6.876	0.0027	5.568573953	0.017956711	6	0.82	5.350695603	50.60851597	NA	NA	NA	xy4296386072888782	201475065
212	0.255551305	0.457680148	NA	NA	NA	0.183	0.585305547	0.457680148	0.454545455	0.500045397	0.500045397	0.500045397	0	0.454545455	0.500045397	0.500045397	0.137865213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	10.2573	3.3813	6.898352392	1.329778439	7	1.04	7.601438702	76.50430136	NA	NA	NA	xy4295429972882760	201475065
214	0.355321414	0.636363636	NA	NA	NA	0.226	0.646540337	0.620480871	0.636363636	0.678022014	0.678022014	0.678022014	0.555555556	0.636363636	0.678022014	0.678022014	0.125031048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5.3424	0.18	6.177103851	0.499568765	7	2.3499999	4.395558155	131.4557209	NA	NA	NA	xy4297778372877080	201475020
215	0.306817931	0.54949622	NA	NA	NA	0.131	0.6247329	0.54949622	0.545454545	0.600157518	0.600157518	0.600157518	0.444444444	0.545454545	0.600157518	0.600157518	0.143824686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	9.3852	0.7452	10.21627995	0.943857164	10	2.1300001	7.058953688	150.9921692	NA	NA	NA	xy4294843772869763	201475020
216	0.262221348	0.469625877	NA	NA	NA	0.082	0.537845052	0.469625877	0.454545455	0.513892331	0.513892331	0.513892331	0.555555556	0.454545455	0.513892331	0.513892331	0.057675547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	8.64	0.9054	9.272422786	0.597773592	9	2.1300001	7.058953688	150.9921692	NA	NA	NA	xy4295488672871868	201475020
217	0.313174035	0.560879698	NA	NA	NA	0.176	0.616609543	0.560879698	0.545454545	0.613501509	0.613501509	0.613501509	0.666666667	0.545454545	0.613501509	0.613501509	0.180227852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7.7346	2.3922	8.674649195	2.497545343	8	2.0599999	6.014841081	134.7981458	NA	NA	NA	xy4295956072874927	201475020
232	NA	NA	NA	NA	NA	0.289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5.5656	5.5656	3.179846126	3.179846126	0	1.26	6.600630792	86.37098922	NA	NA	NA	xy4296712673036961	201475418
233	NA	NA	NA	NA	NA	0.153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7.2828	1.0737	5.007087509	1.553097139	2	2.46	7.776597185	183.03517	NA	NA	NA	xy4297268273021513	201475418
234	0.355321414	0.636363636	NA	NA	NA	0.183	0.636123145	0.630427122	0.636363636	0.688974582	0.688974582	0.688974582	0	0.636363636	0.688974582	0.688974582	0.27298966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	8.5779	1.2951	5.716704861	0.709617352	3	3.0799999	6.96717874	216.9121171	NA	NA	NA	xy4297312773013585	201475418
235	NA	NA	NA	NA	NA	0.249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6.2091	0.6435	3.45399037	0.274144244	1	1.26	6.600630792	86.37098922	NA	NA	NA	xy4296818073034394	201475418
236	0.355321414	0.636363636	NA	NA	NA	0.075	0.630171715	0.632546683	0.636363636	0.690390919	0.690390919	0.690390919	0.555555556	0.636363636	0.690390919	0.690390919	0.138076581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	36.6381	4.8843	37.19656039	7.494479816	12	1.14	25.35737966	153.1657507	NA	NA	NA	xy4296397772999850	201475117
239	0.327239712	0.586070652	NA	NA	NA	0.077	0.584326488	0.586070652	0.545454545	0.640268465	0.640268465	0.640268465	0	0.545454545	0.640268465	0.640268465	0.127710274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	23.1372	4.9464	23.54694228	5.345889036	3	0.63	16.78838916	68.87310955	NA	NA	NA	xy4296296672994389	201475118
249	0.355321414	0.636363636	NA	NA	NA	0.269	0.625741916	0.576457154	0.636363636	0.628998031	0.628998031	0.628998031	0	0.636363636	0.628998031	0.628998031	0.191061472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4.4937	4.4937	2.666696756	2.666696756	0	5.75	3.824623801	300.0314892	NA	NA	NA	xy4292580672833032	201475273
250	0.355321414	0.636363636	NA	NA	NA	0.262	0.656094694	0.598784571	0.636363636	0.653298172	0.653298172	0.653298172	0	0.636363636	0.653298172	0.653298172	0.112243008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4.6827	0.189	2.943890372	0.277193615	1	5.75	3.824623801	300.0314892	NA	NA	NA	xy4292345372833668	201475273
251	0.355321414	0.636363636	NA	NA	NA	0.261	0.693382678	0.628119761	0.636363636	0.684933751	0.684933751	0.684933751	0	0.636363636	0.684933751	0.684933751	0.109327984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4.8771	0.1944	3.138319062	0.194428691	2	5.75	3.824623801	300.0314892	NA	NA	NA	xy4292231872835088	201475273
252	0.355321414	0.636363636	NA	NA	NA	0.289	0.680950592	0.609683118	0.636363636	0.664817794	0.664817794	0.664817794	0	0.636363636	0.664817794	0.664817794	0.10110062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4.9671	0.09	3.346052552	0.207733489	3	5.75	3.824623801	300.0314892	NA	NA	NA	xy4292167372836917	201475273
253	0.227878394	0.40811929	NA	NA	NA	0.074	0.442018454	0.40811929	0.363636364	0.445227309	0.445227309	0.445227309	0	0.363636364	0.445227309	0.445227309	0.11499653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	18.3582	5.967	19.8843539	8.434965972	5	1.4400001	12.20660412	134.2346301	NA	NA	NA	xy4292892672840966	201475272
263	0.219554829	0.393212184	NA	NA	NA	1	0.479856362	0.393212184	0.363636364	0.43109922	0.43109922	0.43109922	0	0.363636364	0.43109922	0.43109922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	24.0768	1.4238	21.58068342	2.145015812	21	1.14	16.22917687	122.534314	NA	NA	NA	xy4294293072860228	201475317
264	0.304561212	0.545454545	NA	NA	NA	0.057	0.612782797	0.532789173	0.545454545	0.582350517	0.582350517	0.582350517	0	0.545454545	0.582350517	0.582350517	0.049251658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	26.316	0.3888	22.8328261	0.413471543	23	1.08	17.39905632	120.1963421	NA	NA	NA	xy4293626272848809	201475317
